estimate,se_seller,se_hc1,se_twoway,n,converged,error,func_form,fe,sample,cov_design,form_label,fe_label,sample_label,cov_label
-0.052800,0.027405,0.025558,0.023678,423706,True,,F5,E3,S1,D2,asinh(GMV),Week FE only,Full sample,Cohort trends
0.049916,0.020380,0.008950,0.019395,319925,True,,F5,E3,S2,D1,asinh(GMV),Week FE only,Positive-sales,No controls
-0.019315,0.014577,0.014164,0.010787,319925,True,,F5,E3,S2,D2,asinh(GMV),Week FE only,Positive-sales,Cohort trends
0.141401,0.077506,0.033529,0.073887,85514,True,,F5,E3,S3,D1,asinh(GMV),Week FE only,Early adopters,No controls
0.026989,0.050147,0.049573,0.030786,85514,True,,F5,E3,S3,D2,asinh(GMV),Week FE only,Early adopters,Cohort trends
-0.265019,0.021830,0.011603,0.051005,423706,True,,F5,E4,S1,D1,asinh(GMV),No FE,Full sample,No controls
-0.328678,0.027649,0.019574,0.068401,423706,True,,F5,E4,S1,D2,asinh(GMV),No FE,Full sample,Cohort trends
-0.062345,0.011468,0.006451,0.018836,319925,True,,F5,E4,S2,D1,asinh(GMV),No FE,Positive-sales,No controls
-0.091637,0.014615,0.010816,0.023283,319925,True,,F5,E4,S2,D2,asinh(GMV),No FE,Positive-sales,Cohort trends
-0.154599,0.037039,0.021597,0.045313,85514,True,,F5,E4,S3,D1,asinh(GMV),No FE,Early adopters,No controls
-0.189424,0.051693,0.035957,0.059875,85514,True,,F5,E4,S3,D2,asinh(GMV),No FE,Early adopters,Cohort trends
-11.824218,20.465883,12.000007,19.963818,423706,True,,F6,E1,S1,D1,GMV levels,Seller+Week FE,Full sample,No controls
6.081433,22.653531,15.633530,22.279442,423706,True,,F6,E1,S1,D2,GMV levels,Seller+Week FE,Full sample,Cohort trends
-13.078675,27.588112,16.212187,27.068852,319464,True,,F6,E1,S2,D1,GMV levels,Seller+Week FE,Positive-sales,No controls
12.681334,30.327292,20.355832,28.951970,319464,True,,F6,E1,S2,D2,GMV levels,Seller+Week FE,Positive-sales,Cohort trends
16.965696,77.386868,39.060728,74.655749,85514,True,,F6,E1,S3,D1,GMV levels,Seller+Week FE,Early adopters,No controls
53.959477,96.301987,49.862513,92.431145,85514,True,,F6,E1,S3,D2,GMV levels,Seller+Week FE,Early adopters,Cohort trends
