"ID","TreatmentDate","OptInDate","GMV2015"
6672,2016-08-08,NA,13882.86
109880,2016-06-13,NA,27579
16945,2016-07-26,NA,13816.69
837,2016-06-21,2016-09-11,129976.29
7938,2016-06-21,NA,11291.22
65317,2016-08-08,NA,26221.63
69614,2016-06-13,NA,127457.19
159343,2016-08-08,NA,33532.58
100618,2016-08-08,NA,28943.14
79157,2016-06-13,2016-06-14,30862.11
168647,2016-07-26,NA,39606.1
54430,2016-08-08,NA,11955.53
91655,2016-06-21,NA,13851.88
171536,2016-06-13,NA,14403.86
52285,2016-06-13,NA,36934.37
42047,2016-06-21,2017-02-02,88932.24
4590,2016-08-08,NA,19116.33
49954,2016-08-08,2016-10-12,187812.48
36346,2016-06-13,NA,20290.62
70372,2016-06-21,2017-01-26,16227.52
139560,2016-06-06,NA,12441.47
165391,2016-06-21,2016-07-22,12622.1
110882,2016-07-26,NA,11117.44
58473,2016-08-08,NA,57279.69
19187,2016-05-12,NA,11882.54
52408,2016-08-08,2017-03-27,10048.98
38467,2016-06-21,NA,45774.31
135653,2016-08-08,NA,20671.62
92400,2016-06-13,NA,91736.78
106918,2016-08-08,2016-09-11,56931.97
7989,2016-06-13,2016-06-15,11123
81135,2016-06-21,2016-07-07,19909.08
23515,2016-08-08,NA,16882.09
161163,2016-06-21,2016-06-28,13445.93
83218,2016-05-12,2016-05-18,475182.03
148110,2016-08-08,NA,26081.8
172647,2016-06-21,2016-07-26,81339.84
175207,2016-06-13,NA,16099.23
154306,2016-06-13,2016-06-14,14850.94
55358,2016-06-06,NA,15334.33
72347,2016-08-08,NA,14365.5
14346,2016-06-21,NA,38915.36
183471,2016-06-13,2016-07-19,20114.18
53672,2016-08-08,NA,92984.49
36394,2016-08-08,NA,14760.12
41307,2016-08-08,NA,12873.89
176708,2016-08-08,2016-08-19,27293.14
69098,2016-06-13,2016-06-22,26110.45
5448,2016-06-06,2016-06-06,21376.87
76477,2016-06-13,NA,40155.73
128966,2016-06-21,2016-07-05,41717.88
104325,2016-06-13,NA,17274.4
67837,2016-06-13,2016-07-18,79979.31
45600,2016-06-13,NA,38849.67
76971,2016-08-08,NA,10078.19
48740,2016-06-13,NA,42324.57
28970,2016-08-08,NA,10113.12
153204,2016-06-21,NA,19344.62
79878,2016-06-06,NA,13415.38
12970,2016-06-13,NA,13086.36
94164,2016-06-13,NA,34569.95
93135,2016-06-21,2016-10-01,40611.99
179251,2016-08-08,2016-08-13,17202.31
61434,2016-07-26,NA,14402.3
104113,2016-08-08,NA,39873.08
183787,2016-05-12,2016-06-09,12953.16
143832,2016-08-08,2016-08-08,32137.97
98232,2016-06-13,NA,38287.68
108004,2016-08-08,NA,46589.97
10327,2016-06-13,NA,32430.34
108487,2016-08-08,NA,18835.37
